Name,Year,Type,Gender,Rating,Link,Cast,Directors,Description
McLeod's Daughters,2001 ,Serie, Drama ,4.7,https://acorn.tv/mcleod/,"Bridie Carter,Aaron Jeffrey,Rachael Carpani,Lisa Chappell,Myles Pollard","Premio Logie al Nuevo Talento Masculino más Popular, MÁS","Lleno de ""deliciosas tensiones románticas"" (Sydney Herald Sun), este drama australiano sigue a dos hermanas que se reencuentran tras la muerte de su padre. Cuando heredan conjuntamente el rancho familiar que tiene problemas financieros, la astuta ciudadana Tess (Bridie Carter, 800 palabras) y la granjera Claire (Lisa Chappell) trabajan para salvar la propiedad y reconstruir su relación. ""Un enorme éxito"" -The New York Times"
Injustice,2011 ,Serie, Drama ,No Rating,https://acorn.tv/injustice/,"James Purefoy,Charlie Creed‑Miles,Dervla Kirwan,Nathaniel Parker,Sasha Behar","STV, UTV, ITV","Esta tensa historia de suspenso en cinco capítulos narra una historia de asesinato, conspiraciones, secretor y culpa. El abogado William Travers es llamado a defender a un viejo amigo en un homicidio que puede ser mucho más de lo que aparenta, aun cuando la muerte acecha y él se convierte en el blanco."
19-2,2014 ,Serie, Drama ,No Rating,https://acorn.tv/192/,"Mylène Dinh‑Robic,Tattiawna Jones,Tyler Hynes,Alexander De Jordy,Sarah Allen","CTV Television Network, CTV Drama Channel","En este multipremiado drama canadiense, dos policías incompatibles, Nick Barron y Ben Chartier, lucharán contra el crimen y contra las adversidades de su vida personal."
Liverpool 1,1998 ,Serie, Policía procesal ,No Rating,https://acorn.tv/liverpool/,"Mark Womack,Samantha Womack,Tom Georgeson,Paul Usher,Paul Broughton",12,"En busca de un ""equilibrio satisfactorio entre la lucha contra el crimen y la agitación emocional privada"" (The Glasgow Herald), este valioso procedimiento policial sigue a los detectives de los vice-escuadrones Isobel de Pauli (Samantha Womack, Mount Pleasant) y Mark Callaghan (Mark Womack, Babylon). lucha contra el crimen y la corrupción en el peligroso vientre de Liverpool."
Relative Strangers,No year,Serie,No genre,No Rating,https://acorn.tv/relativestrangers/,No casters,No Directors,"Después de una amarga traición, una esposa y madre de la vida cotidiana se enfrenta a un doloroso dilema moral tratando de mantener a su familia unida. Brenda Fricker, ganadora del Oscar por la película Mi pie izquierdo, protagoniza a una mujer de mediana edad, quien poco después de la repentina muerte de su esposo, descubre que él tenía una amante y un hijo gravemente enfermo. Adrian Dunbar, actor en la serie Line of Duty, también protagoniza este ""drama superior"", como lo describe The Irish Independent."
Ms. Fisher's Modern Murder Mysteries,2019 ,Serie, Misterio ,4.6,https://acorn.tv/msfishermodernmysteries/,"Geraldine Hakewill,Joel Jackson,Catherine McClements,Louisa Mignone,Toby Truslove",4,"En este spin-off de la popular serie de misterio australiana, la sobrina perdida de Phryne Fisher, Peregrine (Geraldine Hakewill, Wanted), decide seguir sus elegantes pasos como detective para una nueva era. Con la ayuda del guapo detective James Steed (Joel Jackson, Peter Allen) y un grupo de mujeres consumadas, Peregrine investiga asesinatos en la década de 1960 en Melbourne."
At Home with the Georgians,2010 ,Serie, 1 temporada,No Rating,https://acorn.tv/athomewiththegeorgians/,"Amanda Vickery,Hannah Boyde,Perdita Avery,Amy Marston,Richard Dixon",Inglés,"En este ""animado estudio de la vida cotidiana en los años 1700"" (The Times), la historiadora Amanda Vickery (The Story of Women and Power) explora cómo la gran obsesión británica por embellecer el hogar comenzó hace 300 años. Utilizando los diarios íntimos y las cartas de hombres y mujeres georgianos, previamente perdidos en la historia, explora cómo el deseo de un hogar revolucionó las relaciones entre hombres y mujeres."
"McLeod's Daughters Series 3 - US, Canada, Latin America and United Kingdom - July 27th",No year,Serie,No genre,No Rating,https://acorn.tv/mcleod_cs/,No casters,No Directors,"Las ""deliciosas tensiones románticas"" (Sydney Herald Sun) se intensifican en la Serie 3 de este amado drama australiano mientras los negocios y el placer se mezclan cada vez más. Claire, que está embarazada, (Lisa Chappell) tiene que aceptar que ya no puede hacer todas las cosas que solía hacer, mientras que Tess (Bridie Carter, 800 Words) debe tomar cada vez más decisiones que afectarán no sólo su vida sino la de los demás."
Above Suspicion,2009 ,Serie, Crimen ,No Rating,https://acorn.tv/abovesuspicion/,"Kelly Reilly,Ciarán Hinds,Shaun Dingwall,Amanda Lawrence,Michelle Holmes","ITV, STV, UTV, ITV HD","Esta fascinante serie de detectives de la creadora de Prime Suspect Lynda La Plante sigue a un veterano detective y a su compañero novato mientras investigan crímenes atroces. Con una narrativa apasionante y una ardiente química entre las partes principales, es fácilmente uno de los mejores shows de detectives en la pantalla chica (Wales en Domingo, Reino Unido)."
The Heart Guy,2016 ,Serie, Drama ,4.5,https://acorn.tv/heartguy/,"Rodger Corser,Nicole da Silva,Hayley McElhinney,Ryan Johnson,Tina Bursill","""Going Up the Country"" by; Patience Hodgson","Esta exitosa serie australiana del creador Tony McNamara, nominado al Óscar® por The Favourite, el talentoso, encantador y aparentemente infalible Hugh Knight es una estrella en ascenso en el mundo de la cirugía cardiaca, pero después de un incidente con drogas y alcohol, se ve obligado a regresar a su pueblo natal como médico general y a lidiar con su complicada situación familiar."
Rebus,2000 ,Serie, Drama ,No Rating,https://acorn.tv/rebus/,"Ken Stott,Claire Price,Jennifer Black,John Hannah,Sara Stewart","STV, ITV, UTV","Based on the novels by Ian Rankin, this gritty crime drama stars BAFTA Award winner John Hannah (Four Weddings and a Funeral) and Laurence and Olivier Award winner Ken Stott (The Hobbit) as gruff Scottish detective John Rebus. The world-weary policeman investigates the grisly crimes that mar Edinburgh's historic streets in these sharply written and intricately plotted mysteries."
The Silence,2010 ,Serie, Drama ,No Rating,https://acorn.tv/silence/,"Genevieve Barr,Douglas Henshall,Gina McKee,Hugh Bonneville,Dervla Kirwan",Brístol,"Amelia (Genevieve Barr, Liar) es una adolescente sorda que trata de adaptarse a su entorno mientras pasa una temporada en casa de su tío (Douglas Henshall, Shetland). Una noche es testigo de un crimen monstruoso y usa sus habilidades para hacer justicia. Debe tener cuidado porque en el camino pone en peligro la carrera de su tío y la vida de toda la familia."
Janet King,2014 ,Serie, Drama ,No Rating,https://acorn.tv/janetking/,"Marta Dusseldorp,Hamish Michael,Andrea Demetriades,Damian Walshe‑Howling,Peter Kowitz","ABC Television, ABC","La principal fiscal de gobierno Janet King (Marta Dusseldorp, ""A Place to Call Home"", ""Jack Irish"") procesa casos complejos en este reconocido drama legal australiano. Lleno de giros inesperados, este ""misterio astutamente realizado"" (The Australian) es ""inquietantemente complejo, sombrío, pero siempre intrigante"" (The Wall Street Journal)."
Manhunt,No year,Serie,No genre,No Rating,https://acorn.tv/manhunt/,No casters,No Directors,"Para Manhunt, el aclamado Martin Clunes (Doc Martin) se mete en la piel del inspector en jefe Colin Sutton, quien tenazmente rastreó al asesino serial Levi Bellfield. Una fidedigna versión del caso real que muestra cómo el asesinato de la estudiante francesa Amélie Delagrange en 2004 se fue ligando a los asesinatos de Marsha McDonnell, en 2003, y el secuestro y asesinato de Milly Dowlerin, en 2002."
The Time of Our Lives,2013 ,Serie, Drama ,No Rating,https://acorn.tv/timeofourlives/,"Claudia Karvan,Michelle Vergara Moore,Shane Jacobson,William McInnes,Justine Clarke",Premio AACTA a la Mejor Actriz Protagónica en un Drama Televisivo,"Starring Claudia Karvan (Newton's Law) and a winning ensemble cast, this Australian series follows the adult siblings of the Tivolli clan as they try to cope with the ceaseless pressures of marriage, family, and career. Chronicling that frantic, funny, messy, joyful, and sometimes awful time in one's life, this is a ""quality drama with genuine heart and integrity"" (The Guardian)."
Secret State,2012 ,Serie, Drama Político ,No Rating,https://acorn.tv/secretstate/,"Gabriel Byrne,Gina McKee,Charles Dance,Ruth Negga,Rupert Graves",Channel 4,"El ganador al Golden Globe® Gabriel Byrne (The Usual Suspects) y el nominado al Emmy® Charles Dance (Game of Thrones) estelarizan este thriller basado en la novela de Chris Mullin. Byrne es el viceprimer ministro del Reino Unido que será súbitamente catapultado a un mundo enredado de juegos políticos, conspiraciones, espías y sabotaje, donde ciertas fuerzas desean más poder a costa de otros."
Place of Execution,2008 ,Serie, Drama,No Rating,https://acorn.tv/placeofexecution/,"Juliet Stevenson,Lee Ingleby,Greg Wise,Philip Jackson,Emma Cunniffe",Patrick Harbinson,"En este misterio ""ingenioso que te atrapa al instante"" (Variety), la reportera Catherine Heathcote quiere hacer un documental acerca de la repentina desaparición de una adolescente en 1963, pero los eventos la fuerzan a reexaminar la investigación original, encabezada por el detective George Bennet, a pesar de que la evidencia amenace con arruinar la vida de todos los involucrados."
The Broker's Man,1997 ,Serie, Drama ,No Rating,https://acorn.tv/brokersman/,"Kevin Whately,Annette Ekblom,Al Hunter Ashton,Danny Worters,Holly Davidson",Reino Unido,"Jimmy Griffin es un ex-policía convertido en investigador de compañía de seguros en esta entrañable serie de detectives. La astucia e intuición de Jimmy son muy apropiadas a la tarea de desenmascarar estafadores e infractores. Con su entrenamiento policial, él es capaz de encargarse de cualquier caso, no importa cuán peligroso. Si sólo tuviese tanto éxito en su vida personal."
Vera,2011 ,Serie, Crimen ,4.8,https://acorn.tv/vera/,"Brenda Blethyn,Jon Morrison,Kenny Doughty,Riley Jones,David Leon","ITV, STV","La dos veces nominada al Oscar Brenda Blethyn interpreta a DCI Vera Stanhope, una investigadora solitaria, obsesiva, cáustica y brillante. Basado en las novelas más vendidas de Ann Cleeves, este drama atmosférico ofrece personajes convincentes, excelentes actuaciones y misterios de suspenso."
A Place to Call Home,2013 ,Serie, Drama ,4.8,https://acorn.tv/placetocallhome/,"Marta Dusseldorp,Noni Hazlehurst,Brett Climo,Abby Earl,David Berry","Bevan Lee, David Hannam, Hamilton Budd, MÁS","Este adictivo drama de época filmado con esplendor y actuado con maestría, expone lo que une y separa a las familias. En esta ""saga irresistible"" (Wall Street Journal), Sarah (Marta Dusseldorp-Janet King) regresa a Australia, luego de veinte años fuera, quien logra conquistar a George, un codiciado viudo, pero también debe lidiar con la madre (Noni Hazlehurst), una mujer intransigente."
The Secret,2016 ,Serie, 1 temporada,No Rating,https://acorn.tv/thesecret/,"Genevieve O'Reilly,Laura Pyper,Glen Wallace,Nina Woods,Jack Erdis",Premio de Televisión de la Academia Británica a la Mejor Miniserie,"En un pueblo próspero en el norte de Irlanda, Colin Howell (James Nesbitt, Cold Feet) es un esposo amoroso, padre y líder religioso. Pero cuando conoce a Hazel Buchanan (Genevieve O'Reilly, Rogue One), los dos se embarcan en un amorío tórrido que tendrá consecuencias catastróficas para sus familias y para la comunidad. ""James Nesbitt es creíblemente aterrador en este cuento verdadero y devastador"". -- The Telegraph (UK)."
Bucket,2017 ,Serie, Comedia de situación ,No Rating,https://acorn.tv/bucket/,"Frog Stone,Miriam Margolyes,Stephanie Beacham,Catherine Steadman,Cyril Nri",Rebecca Rycroft,"En esta historia cómica de 4 episodios, el dúo disparejo de una madre e hija tratará de cumplir los últimos deseos de Mim, madre de espíritu libre que le avisa a su tímida hija, Fran, que pronto morirá; así, viajarán en auto para realizar los sueños pendientes de Mim, donde les esperan aventuras y situaciones divertidas para olvidar la tragedia y abrir a paso agigantado a las carcajadas."
Mount Pleasant,2011 ,Serie, Comedia ,No Rating,https://acorn.tv/mountpleasant/,"Sally Lindsay,Daniel Ryan,Bobby Ball,Ainsley Howard,Adrian Bower","Sky One, Sky Witness","Drama y comedia se unen para narrar tanto los triunfos como las indignaciones de una pareja de los suburbios de Manchester, donde todos se conocen y se sienten con derecho a meterse en la vida de los demás. Sally Lindsay (Scott & Bailey) y Daniel Ryan (Home Fires) estelarizan esta serie de clásico humor británico que sucede entre baños aromáticos, chismes laborales y conversaciones en el bar local."
The Driver,2014 ,Serie, Drama ,No Rating,https://acorn.tv/driver/,"David Morrissey,Sacha Parkinson,Claudie Blakley,Nathan McMullen,Lewis Rainer","Danny Brocklehurst, Jim Poyser","En esta miniserie cargada de adrenalina, Vince McKee (David Morrissey, The Walking Dead) es un taxista harto de lidiar con pasajeros difíciles, un auto en mal estado y un sueldo miserable. Su vida cambia dramáticamente cuando el jefe de una pandilla (Colm Meaney, Star Trek: The Next Generation) lo contrata como chofer, con auto de lujo, buena paga y uno que otro susto incluídos."
Reggie Perrin,2009 ,Serie, Comedia de situación ,No Rating,https://acorn.tv/reggieperrin/,"Martin Clunes,Lucy Liemann,Fay Ripley,Geoffrey Whitehead,Neil Stuke","Ronnie Hazlehurst, Jonathan Whitehead, Mark Thomas","Esta delicadamente balanceada comedia negra (Guardian, Reino Unido) sigue a un empleado corporativo de bajo nivel al borde de una crisis."
"Love, Lies and Records",2017 ,Serie, Drama ,No Rating,https://acorn.tv/loveliesrecords/,"Ashley Jensen,Kenny Doughty,Adrian Bower,Rebecca Front,Mark Stanley",Kay Mellor,"La nominada al Emmy® Ashley Jensen (Ugly Betty) protagoniza en este conmovedor drama sobre una oficina de registro, donde la gente registra nacimientos, matrimonios y muertes. La registradora Kate Dickenson lucha por equilibrar una agitada vida hogareña mientras lidia con el desgaste emocional de su trabajo y se enfrenta a un colega celoso que podría poner en peligro su carrera y sus relaciones."
Doc Martin,2004 ,Serie, Drama ,4.9,https://acorn.tv/docmartin/,"Martin Clunes,Caroline Catz,Ian Mcneice,Joe Absolom,John Marquez","Dominic Minghella, Craig Ferguson, Mark Crowdy","El ganador del BAFTA por Men Behaving Badly, Martin Clunes, es el doctor Martin Ellingham, un médico sin tacto, autocentrado y altivo, cuya fobia a la sangre lo obligó a mudarse a la vida rural de Portwenn, Cornwall, donde ahora tiene que lidiar con pintorescos personajes para los que nuestro misántropo héroe no tiene paciencia; excepto, quizá, por la encantadora Louisa, la maestra del pueblo."
Doctor Finlay,1993 ,Serie, Drama ,No Rating,https://acorn.tv/drfinlay/,"David Rintoul,Ian Bannen,Annette Crosbie,Margo Gunn,Gordon Reid",27,"Based on the classic stories by A.J. Cronin, this charming period drama follows Dr. Finlay (David Rintoul, Pride and Prejudice), who returns home after WWII to a rundown medical practice in a Scottish village. There, he confronts small-town politics as he advocates for change. Annette Crosbie (Calendar Girls) and Oscar nominee Ian Bannen (Waking Ned Devine) co-star."
A Music Lover's Guide to Murdoch Mysteries,No year,Serie,No genre,No Rating,https://acorn.tv/murdochmusiclover/,No casters,No Directors,"En este episodio especial y exclusivo, acompaña a la estrella de Murdoch Mysteries, Yannick Bisson, y a la Orquesta Sinfónica de Toronto para disfrutar un concierto detrás de las cámaras en el que un conjunto de renombre mundial tocará para ti la música popular de las eras eduardiana y victoriana. El detective William Murdoch en persona te platicará la historia detrás de cada pieza. ¡No te lo pierdas!"
Ms. Fisher's Modern Murder Mysteries - Coming Soon,No year,Serie,No genre,No Rating,https://acorn.tv/msfishermodernmysteries_cs/,No casters,No Directors,"Series availability varies by country. In this spin-off to the wildly popular Australian mystery series, Phryne Fisher's long-lost niece, Peregrine (Geraldine Hakewill, Wanted), decides to follow in her stylish footsteps as a lady detective for a new era. With the help of the handsome, straitlaced Detective James Steed (Joel Jackson, Peter Allen) and a group of accomplished women, Peregrine investigates murders in 1960s Melbourne."
