Name,Year,Gender,Link,Cast,Directors,Description
Cobra Kai,2018,Acción y aventuras de TV,https://www.netflix.com/ar/title/81002370,"Décadas después del torneo que les cambió la vida, se reaviva la rivalidad entre Johnny y Daniel. Esta secuela continúa la historia de las películas de Karate Kid.","Ralph Macchio,William Zabka,Xolo Maridueña","Décadas después del torneo que les cambió la vida, se reaviva la rivalidad entre Johnny y Daniel. Esta secuela continúa la historia de las películas de Karate Kid."
Jurassic World: Campamento Cretácico,2020,Dibujos animados,https://www.netflix.com/ar/title/81009646,"Seis adolescentes llegan a un innovador campamento en Isla Nublar con ansias de aventuras. Pero, cuando los dinosaurios escapan, solo el trabajo en equipo los salvará.","Paul-Mikél Williams,Jenna Ortega,Sean Giambrone","Seis adolescentes llegan a un innovador campamento en Isla Nublar con ansias de aventuras. Pero, cuando los dinosaurios escapan, solo el trabajo en equipo los salvará."
Bridgerton,2020,Ambientadas en otra época,https://www.netflix.com/ar/title/80232398,Los ocho entrañables hermanos de la familia Bridgerton buscan el amor y la felicidad en la alta sociedad londinense. Inspirada en las novelas superventas de Julia Quinn.,"Adjoa Andoh,Julie Andrews,Lorraine Ashbourne",Los ocho entrañables hermanos de la familia Bridgerton buscan el amor y la felicidad en la alta sociedad londinense. Inspirada en las novelas superventas de Julia Quinn.
Lupin,2021,Acción y aventuras de TV,https://www.netflix.com/ar/title/80994082,"Inspirado en las aventuras de Arsène Lupin, el caballeroso ladrón Assane Diop se propone vengar a su padre de las injusticias sufridas a manos de una familia adinerada.","Omar Sy,Ludivine Sagnier,Clotilde Hesme","Inspirado en las aventuras de Arsène Lupin, el caballeroso ladrón Assane Diop se propone vengar a su padre de las injusticias sufridas a manos de una familia adinerada."
Destino: La saga Winx,2021,Series de TV italianas,https://www.netflix.com/ar/title/80220679,"Un grupo de estudiantes de la escuela de magia Alfea aprende a dominar sus poderes mientras lidia con rivalidades, romances y sucesos sobrenaturales.","Abigail Cowen,Hannah Van Der Westhuysen,Precious Mustapha","Un grupo de estudiantes de la escuela de magia Alfea aprende a dominar sus poderes mientras lidia con rivalidades, romances y sucesos sobrenaturales."
Gambito de dama,2020,Dramas sociales de TV,https://www.netflix.com/ar/title/80234304,"En los cincuenta, una joven de un orfanato descubre que tiene un increíble don para el ajedrez y recorre el arduo camino a la fama mientras lucha contra las adicciones.","Anya Taylor-Joy,Bill Camp,Marielle Heller","En los cincuenta, una joven de un orfanato descubre que tiene un increíble don para el ajedrez y recorre el arduo camino a la fama mientras lucha contra las adicciones."
The Crown,2016,Dramas de TV,https://www.netflix.com/ar/title/80025678,"Este drama narra las rivalidades políticas y el romance de la reina Isabel II, así como los sucesos que moldearon la segunda mitad del siglo XX.","Olivia Colman,Helena Bonham Carter,Tobias Menzies","Este drama narra las rivalidades políticas y el romance de la reina Isabel II, así como los sucesos que moldearon la segunda mitad del siglo XX."
Vis a vis,2015,Thrillers de TV,https://www.netflix.com/ar/title/80059465,"Su novio la manipuló para que malversara fondos, y la sentenciaron a prisión. Ahora, esta ingenua joven debe aprender a sobrevivir en un mundo nuevo y hostil.","Najwa Nimri,Maggie Civantos,Itziar Castro","Su novio la manipuló para que malversara fondos, y la sentenciaron a prisión. Ahora, esta ingenua joven debe aprender a sobrevivir en un mundo nuevo y hostil."
Madre solo hay dos,2021,Comedias de TV,https://www.netflix.com/ar/title/81002483,"Al descubrir que sus bebés fueron cambiadas al nacer, dos madres muy distintas deciden formar una singular familia.","Ludwika Paleta,Paulina Goto,Martín Altomaro","Al descubrir que sus bebés fueron cambiadas al nacer, dos madres muy distintas deciden formar una singular familia."
Amar y vivir,2020,Telenovelas,https://www.netflix.com/ar/title/81144163,"Un chico pobre de una zona rural sale en busca de su hermana a Bogotá, donde se enamora de una aspirante a cantante, pero termina inmiscuido en el crimen organizado.","Ana María Estupiñán,Carlos Torres,Yuri Vargas","Un chico pobre de una zona rural sale en busca de su hermana a Bogotá, donde se enamora de una aspirante a cantante, pero termina inmiscuido en el crimen organizado."
